"","division","gender","belt","weight","fight","date","competitor","name","gym"
"44","Master 2","Male","BLACK","Middle","FIGHT 28","Thu 09/01 at 01:14 PM","41","Wesley Russell Reed","Nova União"
"45","Master 2","Male","BLACK","Middle","FIGHT 35","Thu 09/01 at 02:14 PM","13","David Charles Mitchell","One World Jiu Jitsu Academy "
"46","Master 2","Male","BLACK","Middle","FIGHT 35","Thu 09/01 at 02:14 PM","3","Sandro Gabriel Vieira","CheckMat"
"47","Master 2","Male","BLACK","Middle","FIGHT 36","Thu 09/01 at 02:22 PM","9","Jared Randall Chaffee","Carlson Gracie Team"
"48","Master 2","Male","BLACK","Middle","FIGHT 36","Thu 09/01 at 02:22 PM","5","Rodrigo Fajardo","Gracie Barra"
"49","Master 2","Male","BLACK","Middle","FIGHT 23","Thu 09/01 at 12:58 PM","13","David Charles Mitchell","One World Jiu Jitsu Academy "
"50","Master 2","Male","BLACK","Middle","FIGHT 23","Thu 09/01 at 12:58 PM","53","Joshua Aaron Sutton","Six Blades Jiu-Jitsu"
"51","Master 2","Male","BLACK","Middle","FIGHT 29","Thu 09/01 at 01:33 PM","9","Jared Randall Chaffee","Carlson Gracie Team"
"52","Master 2","Male","BLACK","Middle","FIGHT 29","Thu 09/01 at 01:33 PM","49","Rodolfo Jose Pertuz Rodriguez","Iturralde Arte Suave"
"53","Master 2","Male","BLACK","Middle","FIGHT 32","Thu 09/01 at 01:53 PM","21","João Alfredo Tavares Marinho","GF Team"
"54","Master 2","Male","BLACK","Middle","FIGHT 32","Thu 09/01 at 01:53 PM","13","David Charles Mitchell","One World Jiu Jitsu Academy "
"55","Master 2","Male","BLACK","Middle","FIGHT 34","Thu 09/01 at 02:05 PM","17","Brent Richard Insco","Jiu-Jitsu For Life Team"
"56","Master 2","Male","BLACK","Middle","FIGHT 34","Thu 09/01 at 02:05 PM","9","Jared Randall Chaffee","Carlson Gracie Team"
"57","Master 2","Male","BLACK","Middle","FIGHT 27","Thu 09/01 at 01:31 PM","21","João Alfredo Tavares Marinho","GF Team"
"58","Master 2","Male","BLACK","Middle","FIGHT 27","Thu 09/01 at 01:31 PM","37","Albert Allen Hughes","Fight Sports"
"59","Master 2","Male","BLACK","Middle","FIGHT 31","Thu 09/01 at 01:46 PM","17","Brent Richard Insco","Jiu-Jitsu For Life Team"
"60","Master 2","Male","BLACK","Middle","FIGHT 31","Thu 09/01 at 01:46 PM","33","Vinicius Soares Flaeschen Nunes","Ralph Gracie"
"61","Master 2","Male","BLACK","Middle","FIGHT 22","Thu 09/01 at 12:27 PM","4","Marcus V. C. Antelante","Ares BJJ"
"62","Master 2","Male","BLACK","Middle","FIGHT 22","Thu 09/01 at 12:27 PM","62","Andrew E. Ganthier","Renzo Gracie Academy"
"63","Master 2","Male","BLACK","Middle","FIGHT 27","Thu 09/01 at 01:15 PM","6","Eduardo Cunha Bastos","Ns Brotherhood"
"64","Master 2","Male","BLACK","Middle","FIGHT 27","Thu 09/01 at 01:15 PM","58","Bret Russell","R1NG BJJ"
"65","Master 2","Male","BLACK","Middle","FIGHT 29","Thu 09/01 at 01:28 PM","46","Stephen Michael Plyler","Balance"
"66","Master 2","Male","BLACK","Middle","FIGHT 29","Thu 09/01 at 01:28 PM","4","Marcus V. C. Antelante","Ares BJJ"
"67","Master 2","Male","BLACK","Middle","FIGHT 40","Thu 09/01 at 02:52 PM","6","Eduardo Cunha Bastos","Ns Brotherhood"
"68","Master 2","Male","BLACK","Middle","FIGHT 40","Thu 09/01 at 02:52 PM","14","Romulo D. Melo","Gracie Humaita"
"69","Master 2","Male","BLACK","Middle","FIGHT 33","Thu 09/01 at 01:54 PM","42","Walter Buse","Alliance Jiu-Jitsu"
"70","Master 2","Male","BLACK","Middle","FIGHT 33","Thu 09/01 at 01:54 PM","6","Eduardo Cunha Bastos","Ns Brotherhood"
"71","Master 2","Male","BLACK","Middle","FIGHT 23","Thu 09/01 at 12:33 PM","30","Adam Colón","Nova União"
