"0","1","2","3","4"
8.33792742497869e-161,2.92506919954708e-24,9.46361818736536e-07,9.56648432219401e-82,0.999999053638181
1.13562118158732e-08,1.84852330474354e-242,1.2735106659839e-54,0.999999988643788,9.71676599822204e-314
2.19145911307671e-132,5.8552128043582e-47,1,8.60629779427985e-63,4.3684505450872e-35
8.3200129053336e-254,9.14896611681101e-45,4.12055502281599e-78,2.09655583113996e-171,1
2.15864730535311e-38,3.07185285198126e-83,7.52139218286778e-07,0.999999247860782,2.40476212163346e-109
3.76124105601641e-180,3.6609652979954e-32,1.38251665257581e-34,2.01116256339161e-112,1
2.80985999229039e-60,0.00013280490555542,0.0112029379393213,6.55645110656539e-22,0.988664257155123
1.68183146924245e-52,1.16630586336593e-26,0.999999999998071,1.92916452941168e-12,1.96760331667743e-32
4.61418450841155e-87,1.65145441507129e-37,1,1.33050894403821e-53,3.24180268492014e-22
2.88913316145361e-137,2.90505573726188e-23,0.927308742042299,5.05662521488986e-70,0.0726912579577008
1.62269153066328e-28,3.33251217697037e-92,1.21806022070309e-11,0.99999999998782,4.28163756838384e-120
2.19948508378026e-121,1.93942084453923e-72,1,1.39068422771453e-53,7.69070919485409e-71
5.67788087247413e-37,1.57922262206312e-84,1.53988920424073e-07,0.99999984601108,6.84679195488411e-111
1.13987555543225e-170,2.42148370411703e-31,7.58470944084855e-32,1.757772949449e-107,1
3.01119335694001e-160,3.26884992594419e-24,1.37143193249076e-06,1.8681008521116e-81,0.999998628568068
1.93224089039711e-60,0.00012870649188272,0.0100625111607587,5.39702573922131e-22,0.989808782347358
1.06528592905328e-136,2.0821850066603e-23,0.955387118053286,7.90108961803485e-70,0.0446128819467143
5.56906507460341e-118,1.03974140290549e-28,0.999999998818621,1.05940510359266e-63,1.1813790299226e-09
1.62012582950396e-158,4.61498011995848e-24,4.33725080521769e-06,1.49090927007678e-80,0.999995662749195
4.16938793795306e-225,2.7856611592786e-42,8.06378969755439e-70,1.90171275402021e-156,1
1.00995413777476e-150,2.17964059412404e-23,0.000774330747834815,1.72070284619386e-76,0.999225669252165
1.65334690696913e-17,2.95087462343633e-135,2.5545285986894e-25,1,4.3545312700059e-175
1,8.2282021260029e-233,1.52381740333468e-97,7.04636722798126e-44,1.79011875616622e-283
1.02922131932056e-139,7.12994122193394e-45,1,3.47674583723856e-65,4.14633827243537e-32
1.06217086492201e-47,2.24761166380359e-50,0.999970605824341,2.93941756588503e-05,1.1454982338786e-65
8.92044810674699e-140,8.48621479780632e-23,0.59359282642951,5.66801777689308e-71,0.406407173570491
9.59468755780097e-179,4.84534465211208e-32,3.52431046852076e-34,1.08788021623424e-111,1
8.65621251088334e-35,1.43279186422247e-119,6.16473582421532e-17,1,2.80711688971163e-156
2.52671066776734e-138,5.05629471233815e-23,0.832039260722946,2.12085431880075e-70,0.167960739277054
8.40174597615732e-88,3.58954754792993e-24,6.61986963672252e-08,2.7118995499773e-64,0.999999933801304
4.40294176061678e-59,8.70960636528341e-25,0.999999999999986,1.36601308295968e-14,9.2920623476477e-30
4.47786027191222e-25,2.50887623058201e-95,2.60978608631781e-13,0.999999999999739,7.69977870943616e-124
4.82786619119543e-31,6.93785734978778e-57,0.0418971789241208,0.958102821075879,2.25797979011995e-74
0.000544692493121856,2.09124553073958e-81,3.36502805323353e-15,0.999455307506875,8.85557052479436e-104
1.08706290536685e-217,2.06606253408105e-35,1.97428977162736e-45,5.48395186225446e-132,1
4.19628552152997e-112,1.98423973512983e-97,1,6.15871679586049e-45,6.77387414178878e-106
3.51440055326971e-05,2.19122047391814e-113,5.83600405093365e-23,0.999964855994467,1.70698970788703e-145
1,3.17351118556077e-214,1.79406304904428e-100,1.82257398222532e-51,2.62023336187322e-256
1.31772089963426e-39,2.49626444354887e-30,0.999999968595304,3.14046960021955e-08,1.13579626632221e-37
1.64012742715392e-267,5.96191170558443e-46,4.52303146193941e-82,1.50904395021736e-178,1
1.55255802309182e-59,1.08401088474636e-67,1,5.37238762026759e-39,1.10265851733766e-64
3.20353676794261e-24,3.65755860331775e-129,4.60778639925772e-22,1,8.81718140828938e-168
4.79280885157654e-25,2.05159203653076e-128,1.15797362937422e-21,1,6.97161521161695e-167
3.37557310960831e-209,1.12204057909965e-34,5.60823687702251e-43,1.46198606818738e-127,1
1.5665130169552e-143,8.70024626873187e-44,1,1.96890722429969e-66,1.47462863759937e-30
