Date,DJX,SPX,HKX,NKX,DAX,UKX
7/1/03,8740.59,922.93,9652.4,8656.5,3112.77,3957.4
8/1/03,8595.31,909.93,9688.21,8517.8,2993,3924.8
9/1/03,8776.18,927.58,9675.41,8497.93,3037.68,3934
10/1/03,8784.89,927.57,9721.5,8470.45,3037.33,3974.1
01/13/03,8785.98,926.26,9834.08,8470.45,3060.65,3948.3
01/14/03,8842.62,931.66,9796.31,8553.06,3098.72,3945.6
01/15/03,8723.18,918.22,9873.49,8611.75,3049.4,3887.8
01/16/03,8697.87,914.6,9743.23,8609.17,3054.11,3881.8
01/17/03,8586.74,901.78,9614.59,8690.25,2918.82,3820.6
01/20/03,8586.74,901.78,9552.02,8558.82,2893.55,3778.6
01/21/03,8442.9,887.62,9568.47,8708.58,2870.57,3736.7
01/22/03,8318.73,878.36,9560.29,8611.04,2803.25,3678
01/23/03,8369.47,887.34,9584.7,8790.92,2811.22,3622.2
