"Competitor","rank","Team","Grand.Slam.Pts","Overall.PTS","Adult.World.Champ.","M1.World.Champ.","M2.World.Champ.","M3.World.Champ.","M4.World.Champ.","M5.World.Champ.","M6.World.Champ.","M7.World.Champ.","Grand.Slam.Open.Class.PTS","Overall.Open.Class.PTS","Overall.PTS..without.Open.Class.","division","gender","belt","weight","place","winnerGym"
"
Jason Mitchler",4,"Prime Jiu-Jitsu Center",21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jason Obie Elie",12,"Brasa CTA",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jason Pallagao Lopez",4,"Unique Logic Jiu-Jitsu HQ",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jason Paul Culbreth",3,"Cary Brazilian Jiu-Jitsu",63,99,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jason Paul Mohler",1,"Six Blades Jiu-Jitsu",108,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jason Paul Ulrich",30,"Paragon Brazilian Jiu Jitsu Austin",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jason Pessemier",12,"Carlson Gracie Team",0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jason Powell",23,"Rodrigo Vaghi BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jason Rath",6,"Excellence School of Jiu-Jitsu USA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jason Rene Farias",11,"Six Blades Jiu-Jitsu",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jason Rene Selva",28,"CheckMat",0,12,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jason Richard Jurek",14,"Nova União",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jason S. Kaczmarek",16,"Proving Grounds Jiu-Jitsu",0,29,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jason Scully",26,"Grapplers Guide",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jason Sy Balavram",10,"Atos Jiu-Jitsu",0,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jason T Khalipa",21,"Claudio Franca",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jason Timothy Rittgers",7,"Carlson Gracie Team",0,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jason Todd Cutter",8,"Ralph Gracie Jiu-Jitsu Berkeley",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jason Vincent Valdez",1,"Outsiders Jiu-Jitsu",63,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jason Vincent Valdez",4,"Outsiders Jiu-Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,124,144,NA,NA,NA,NA,NA,NA
"
Jason Wayne Snow",6,"Gracie Barra",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jason Wong",14,"Joslin's Mixed Martial Arts",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jasson Cueto Cacal",21,"Maui Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Javier Benito Peake",29,"Cohab Chile",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Javier Eduardo Perez",18,"Carlson Gracie Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Javier Gomez",7,"Aspire To Inspire",24,349,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Javier Palomo",12,"LCCT - Combat Team",0,81,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Javier Zapata",6,"LEAD BJJ",12,18,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Javier Zaruski Saul",1,"Atos Jiu-Jitsu",189,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Javier Zaruski Saul",2,"Atos Jiu-Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,61,218,NA,NA,NA,NA,NA,NA
"
Jay Anthony Angulo Duldulao",25,"Rodrigo Freitas Brazilian Jiu-Jitsu",0,0,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jay Hunsucker",1,"The Jiu-Jitsu Academy",63,63,"No","No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jay S Lewis",16,"Nova União",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jayson Charles R Justo",31,"Mano Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jayson Llamas Guevara",56,"Charles Gracie Jiu-Jitsu Academy",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jayson Miyoshi Kira",8,"Alliance International",0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jayson Tod Singer Jr",40,"Alliance International",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jean Montelus",11,"American Top Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jean Petrik Ferreira de Lima",14,"Alliance International",0,12,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jean-marc De Groot",13,"Bibiano Fernandes BJJ",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jean-Philippe Marotte",42,"Arashi Do Behring Jiu-Jitsu",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeane Anne Saari-Ruiz",1,"GF Team",448,646,"No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jebadiah Olin Bera",12,"Double Five",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeferson Conceição dos Santos",22,"CheckMat",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeff Gordon Mata",10,"Baret Submissions USA",0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeff Macatangay",13,"Gracie Barra",0,34,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeff Weichih Chen",12,"Elizandro Beda",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jefferson da Silva Mota",23,"Nova União",0,0,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jefferson de Andrade Borges",23,"Gracie Barra JJ",0,7,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffery A. Rozovics",6,"Carlson Gracie Team",54,76,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffery Bynum Hammond",11,"Caique Jiu-Jitsu",0,98,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffery Douglas Correia",10,"Cassio Werneck BJJ",0,0,"No","No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffery John Boudreaux",10,"Outsiders Jiu-Jitsu",0,112,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffery Malavong",30,"Atos Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffery Michael Parkhurst",7,"Brazilian Top Team",0,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey Alan Maloney",5,"Six Blades Jiu-Jitsu",36,37,"No","No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey Alexander",7,"Jiu-Jitsu For The People - Sheridan BJJ",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey Andaya",20,"Cascao Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey Anthony O'Connor",20,"Gracie Barra BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey Bachman Strain",3,"Six Blades Jiu-Jitsu",54,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey Bryan Cronin",20,"Unique Logic Jiu-Jitsu HQ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey D. Howard",10,"3rd Generation Jiu-Jitsu Academy",0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey David Papp Jr",10,"Brazilian Top Team",0,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey E Kemp",6,"Komainu Gym Reno",0,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey Emmanuel Nolasco",11,"R1NG BJJ",0,49,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey Gaspar",4,"Brazil 021 Houston",0,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey Huang",43,"Workshop",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey James Blaauw",6,"Soul Fighters BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey Julian Fletcher",9,"Legacy Jiu-Jitsu - Team Alberto Crane",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey M Paquette",24,"Troop BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey Maxson",20,"Six Blades Jiu-Jitsu",0,0,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey Michael Gainok",7,"Renzo Gracie Colorado",0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey Palacio Dasalla",34,"Renzo Gracie Colorado",0,1,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey R Comparato",11,"American Top Team",0,49,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey R. Rowlett",5,"Nova União",12,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey Ryan Sample",29,"Six Blades Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey S. Messina",9,"BJJ Revolution Team",0,222,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey T. Richard II",3,"Renzo Gracie NH",0,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeffrey T. Richard II",6,"Renzo Gracie NH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,54,NA,NA,NA,NA,NA,NA
"
Jeffrey Thomas Partin",3,"Tribal Gym",36,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeileen M. Alvarez",3,"Team Link",38,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeison Camilo  Mora Pineda",6,"CheckMat",0,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jelsilene Soares de Goes Monteiro",3,"GF Team",36,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jenifer Susanne Fennell",1,"Choke-U",12,589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jenna Hulsey",2,"Cleber Jiu-Jitsu Visalia",0,17,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jenna Hulsey",12,"Cleber Jiu-Jitsu Visalia",0,13,"No","No","No","No",NA,NA,NA,NA,0,7,NA,NA,NA,NA,NA,NA,NA
"
Jennie M Loyed",7,"Swampfox Jiu-Jitsu",0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jennifer A. Case",2,"Renato Tavares Association",315,415,"No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jennifer A. Case",1,"Renato Tavares Association",126,159,"No","No","No",NA,NA,NA,NA,NA,189,256,NA,NA,NA,NA,NA,NA,NA
"
Jennifer Ann Chircop",2,"Anchorage Brazilian Jiu Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jennifer Ann Chircop",5,"Anchorage Brazilian Jiu Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"
Jennifer Joan Holmberg",7,"Gracie Humaita",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jennifer June Cox",10,"Carlson Gracie Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jennifer Lauren Aniano",9,"Carlson Gracie Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jennifer Lin Hansen",5,"Maui Jiu-Jitsu",0,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jennifer Lorene Rankin",14,"Gracie Barra",0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jennifer Lynn Vice",3,"Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jennifer Lynn Whitcomb",1,"Six Blades Jiu-Jitsu",306,351,"No","No","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jennifer Lynn Whitcomb",5,"Six Blades Jiu-Jitsu",260,302,"No","No","No","No","No",NA,NA,NA,54,99,NA,NA,NA,NA,NA,NA,NA
"
Jennifer Lynn Zanotti-Ferrari",3,"McVicker's Brazilian Jiu Jitsu",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jennifer Lynn Zanotti-Ferrari",14,"McVicker's Brazilian Jiu Jitsu",0,0,"No","No","No","No",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"
Jennifer Marie McClelland",8,"American Jiu-Jitsu Syndicate",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jennifer Martinez",6,"CheckMat",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jennifer Perez",13,"Easton BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jennifer Serene Wong",14,"Ares BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jennifer Tam",26,"Fifty/50 Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jennifer Victoria Fahey",1,"Ares BJJ",364,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jennifer Victoria Fahey",1,"Ares BJJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,162,297,NA,NA,NA,NA,NA,NA
"
Jennifer Wolstenholme",5,"Harris International Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jennifer Zabala Lansang",9,"Lansang Brazilian Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jennisin Dominique Rosania Montemayor de Grimaldo",2,"Atos Jiu-Jitsu",103,133,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jenny Bernice Pomeroy",1,"Kronos BJJ HQ",33,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jenny Lopez Armenta",8,"Tillis Brazilian Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jenny Vo",10,"Brasa CTA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeremiah Maxwell Cann",31,"Excellence School of Jiu-Jitsu USA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeremiah Maxwell Cann",8,"Excellence School of Jiu-Jitsu USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
"
Jeremiah P. Mendoza",1,"Rodrigo Freitas Brazilian Jiu-Jitsu",12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeremiah S Johnson",3,"Kron Gracie Jiu Jitsu",147,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeremiah S Johnson",3,"Kron Gracie Jiu Jitsu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,99,381,NA,NA,NA,NA,NA,NA
"
Jeremie Emmanuel Fischer",27,"CheckMat",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeremy A Vargas",55,"Gracie Allegiance",0,0,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeremy Alan Hass",6,"Jean Jacques Machado BJJ",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeremy Alexander Collins",4,"Crazy 88",0,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeremy Anthony Clein",9,"Carlson Gracie Team",0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeremy Brick",1,"Renato Tavares Association",742,1327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeremy Brick",1,"Renato Tavares Association",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553,958,585,NA,NA,NA,NA,NA,NA
"
Jeremy Chad Boyd",4,"Double Five",0,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeremy Dallas Smith",5,"Vieira Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeremy E. Moore",4,"CheckMat",90,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeremy Glen Harrington",16,"Siri Brazilian Jiu-Jitsu",0,46,"No","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeremy Jay Kam",4,"Brasa CTA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeremy Jay Veley",19,"Jean Jacques Machado BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeremy John Cox",18,"Diego Herzog BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeremy Joseph Thrasher",19,"Gracie Barra BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeremy Kenneth Howard Elkin",1,"TAC Team BJJ",4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeremy Robert Hintom",30,"Alliance",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeremy Sachio Nitta",32,"Brasa CTA",0,0,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeremy W. Fernandez",34,"TAC Team BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jeremy Wayne Williamson",7,"Massachusetts Brazilian Jiu Jitsu",0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jerremy Newman Sage",29,"Coachella Valley BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jerry Cavazos",20,"Patrick Almeida Jiu-Jitsu",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jerry Daniel Rodriguez",22,"Rio Combat Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jerry L. Caylor Jr.",18,"Relson Gracie",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jerry Nicholas Aquino III",26,"Atos JJ International",0,3,"No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jesenia Isabel Patino",5,"Winners Training Center",8,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessamine May Marie Ali",7,"SAS Team USA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jesse Austin Milner",25,"Gracie Barra BJJ",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jesse Hauch",3,"Atos Jiu-Jitsu",93,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jesse Hebscher",11,"Jiu-Jitsu For Life Team",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jesse James Robin",12,"Gracie Barra",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jesse Kupono Alesna",28,"Relson Gracie",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jesse Lee Stewart",33,"Marcus Soares Academy",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jesse Mantuano",39,"Logic",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jesse Michael Diana",23,"Luiz Palhares Jiu-Jitsu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jesse Ryan Russell",3,"Carlson Gracie",0,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica A. Carpenter",8,"Ohana Jiu-Jitsu Academy",0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica A. Jackson",11,"Carlson Gracie Team",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Alexandra-Lucy Zavala",29,"Silanoe Martial Arts",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Anne Albaniel",17,"Gracie Humaita",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Arabi",7,"Renzo Gracie LA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Christine Myracle",20,"Paragon BJJ Academy",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Claire Elizabeth Kleinbart",8,"Stout PGH - Team Renzo Gracie",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Cristina C. A. dos Santos",2,"T3MA",108,108,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"
Jessica Cristina C. A. dos Santos",7,"T3MA",108,108,"No","No",NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
