div,stock,dates
1.42333,25.03,1952m11
1.41,26.04,1952m12
1.41,26.18,1953m1
1.41,25.86,1953m2
1.41,25.99,1953m3
1.41333,24.71,1953m4
1.41667,24.84,1953m5
1.42,23.95,1953m6
1.42,24.29,1953m7
1.42,24.39,1953m8
1.42,23.27,1953m9
1.43,23.97,1953m10
1.44,24.5,1953m11
1.45,24.83,1953m12
1.45667,25.46,1954m1
1.46333,26.02,1954m2
1.47,26.57,1954m3
1.46333,27.63,1954m4
1.45667,28.73,1954m5
1.45,28.96,1954m6
1.45667,30.13,1954m7
1.46333,30.73,1954m8
1.47,31.45,1954m9
1.49333,32.18,1954m10
1.51667,33.44,1954m11
1.54,34.97,1954m12
1.54667,35.6,1955m1
1.55333,36.79,1955m2
1.56,36.5,1955m3
1.56333,37.76,1955m4
1.56667,37.6,1955m5
1.57,39.78,1955m6
1.58667,42.69,1955m7
1.60333,42.43,1955m8
1.62,44.34,1955m9
1.62667,42.11,1955m10
1.63333,44.95,1955m11
1.64,45.37,1955m12
1.67,44.15,1956m1
1.7,44.43,1956m2
1.73,47.49,1956m3
1.75333,48.05,1956m4
1.77667,46.54,1956m5
1.8,46.27,1956m6
1.81333,48.78,1956m7
1.82667,48.49,1956m8
1.84,46.84,1956m9
1.80667,46.24,1956m10
1.77333,45.76,1956m11
1.74,46.44,1956m12
1.73667,45.43,1957m1
1.73333,43.47,1957m2
1.73,44.03,1957m3
1.73,45.05,1957m4
1.73,46.78,1957m5
1.73,47.55,1957m6
1.74,48.51,1957m7
1.75,45.84,1957m8
1.76,43.98,1957m9
1.77,41.24,1957m10
1.78,40.35,1957m11
1.79,40.33,1957m12
1.78333,41.12,1958m1
1.77667,41.26,1958m2
1.77,42.11,1958m3
1.75667,42.34,1958m4
1.74333,43.7,1958m5
1.73,44.75,1958m6
1.73,45.98,1958m7
1.73,47.7,1958m8
1.73,48.96,1958m9
1.73667,50.95,1958m10
1.74333,52.5,1958m11
1.75,53.49,1958m12
1.75667,55.62,1959m1
1.76333,54.77,1959m2
1.77,56.16,1959m3
1.77667,57.1,1959m4
1.78333,57.96,1959m5
1.79,57.46,1959m6
1.79667,59.74,1959m7
1.80333,59.4,1959m8
1.81,57.05,1959m9
1.81667,57,1959m10
1.82333,57.23,1959m11
1.83,59.06,1959m12
1.86667,58.03,1960m1
1.90333,55.78,1960m2
1.94,55.02,1960m3
1.94333,55.73,1960m4
1.94667,55.22,1960m5
1.95,57.26,1960m6
1.95,55.84,1960m7
1.95,56.51,1960m8
1.95,54.81,1960m9
1.95,53.73,1960m10
1.95,55.47,1960m11
1.95,56.8,1960m12
1.94667,59.72,1961m1
1.94333,62.17,1961m2
1.94,64.12,1961m3
1.94,65.83,1961m4
1.94,66.5,1961m5
1.94,65.62,1961m6
1.94667,65.44,1961m7
1.95333,67.79,1961m8
1.96,67.26,1961m9
1.98,68,1961m10
2,71.08,1961m11
2.02,71.74,1961m12
2.02667,69.07,1962m1
2.03333,70.22,1962m2
2.04,70.29,1962m3
2.04667,68.05,1962m4
2.05333,62.99,1962m5
2.06,55.63,1962m6
2.06667,56.97,1962m7
2.07333,58.52,1962m8
2.08,58,1962m9
2.09667,56.17,1962m10
2.11333,60.04,1962m11
2.13,62.64,1962m12
2.13667,65.06,1963m1
2.14333,65.92,1963m2
2.15,65.67,1963m3
2.16667,68.76,1963m4
2.18333,70.14,1963m5
2.2,70.11,1963m6
2.20333,69.07,1963m7
2.20667,70.98,1963m8
2.21,72.85,1963m9
2.23333,73.03,1963m10
2.25667,72.62,1963m11
2.28,74.17,1963m12
2.29667,76.45,1964m1
2.31333,77.39,1964m2
2.33,78.8,1964m3
2.34667,79.94,1964m4
2.36333,80.72,1964m5
2.38,80.24,1964m6
2.4,83.22,1964m7
2.42,82,1964m8
2.44,83.41,1964m9
2.46,84.85,1964m10
2.48,85.44,1964m11
2.5,83.96,1964m12
2.51667,86.12,1965m1
2.53333,86.75,1965m2
2.55,86.83,1965m3
2.57,87.97,1965m4
2.59,89.28,1965m5
2.61,85.04,1965m6
2.62667,84.91,1965m7
2.64333,86.49,1965m8
2.66,89.38,1965m9
2.68,91.39,1965m10
2.7,92.15,1965m11
2.72,91.73,1965m12
2.74,93.32,1966m1
2.76,92.69,1966m2
2.78,88.88,1966m3
2.79667,91.6,1966m4
2.81333,86.78,1966m5
2.83,86.06,1966m6
2.85,85.84,1966m7
2.87,80.65,1966m8
2.89,77.81,1966m9
2.88333,77.13,1966m10
2.87667,80.99,1966m11
2.87,81.33,1966m12
2.88,84.45,1967m1
2.89,87.36,1967m2
2.9,89.42,1967m3
2.9,90.96,1967m4
2.9,92.59,1967m5
2.9,91.43,1967m6
2.90667,93.01,1967m7
2.91333,94.49,1967m8
2.92,95.81,1967m9
2.92,95.66,1967m10
2.92,92.66,1967m11
2.92,95.3,1967m12
2.93,95.04,1968m1
2.94,90.75,1968m2
2.95,89.09,1968m3
2.96333,95.67,1968m4
2.97667,97.87,1968m5
2.99,100.5,1968m6
3.00333,100.3,1968m7
3.01667,98.11,1968m8
3.03,101.3,1968m9
3.04333,103.8,1968m10
3.05667,105.4,1968m11
3.07,106.5,1968m12
3.08,102,1969m1
3.09,101.5,1969m2
3.1,99.3,1969m3
3.11,101.3,1969m4
3.12,104.6,1969m5
3.13,99.14,1969m6
3.13667,94.71,1969m7
3.14333,94.18,1969m8
3.15,94.51,1969m9
3.15333,95.52,1969m10
3.15667,96.21,1969m11
3.16,91.11,1969m12
3.16333,90.31,1970m1
3.16667,87.16,1970m2
3.17,88.65,1970m3
3.17333,85.95,1970m4
3.17667,76.06,1970m5
